timestamp,TC_predicted,HUM_predicted,PRES_predicted,US_predicted,SOIL1_predicted
2024-01-01 00:00:00,9.62943003983514,74.62971576597339,98365.48328624715,27.345074598752273,583.6682552898244
2024-01-01 01:00:00,9.250859597743574,75.49553591346796,98299.1540996325,27.446323234271908,598.7074745437637
2024-01-01 02:00:00,8.455535071838058,76.7856129164617,98240.75116362757,27.56789584690229,622.0821681865648
2024-01-01 03:00:00,7.569979725411096,77.97677450229467,98189.99757110327,27.647472670666332,652.7415897961566
2024-01-01 04:00:00,6.698197322771437,79.51696847118102,98148.72826552024,27.684850413678486,686.024947703623
2024-01-01 05:00:00,5.756875573607516,82.12752966401453,98121.38014654568,27.720235832763336,720.6954558377577
2024-01-01 06:00:00,4.645796810297455,86.00814168344678,98111.51108644473,27.77910357815556,760.8452141902599
2024-01-01 07:00:00,3.3942186777854957,90.61334091149243,98117.23479857085,27.84260661116056,810.3755196702327
2024-01-01 08:00:00,2.165959789471497,95.0794509794085,98129.84397639254,27.871916034990075,866.2384397154533
2024-01-01 09:00:00,1.1396621183428213,98.81962709374288,98137.41110024198,27.857246128766203,918.5319982353681
2024-01-01 10:00:00,0.38238220252591226,101.76606108124184,98131.00045766795,27.836865858855354,958.599650705059
2024-01-01 11:00:00,-0.17811524443888693,104.16966134080612,98109.00349253068,27.863421593142075,987.5092589297815
2024-01-01 12:00:00,-0.675703090233581,106.28009008879727,98076.79060631956,27.950779598670117,1015.9183604966997
2024-01-01 13:00:00,-1.2003627779494401,108.22379994528055,98042.64367699268,28.05645973381879,1054.3222481177293
2024-01-01 14:00:00,-1.7413648750007624,110.05735819828665,98013.37348191183,28.119513426994885,1102.39775081335
2024-01-01 15:00:00,-2.1914295088472375,111.73302145943006,97992.27141410294,28.116866650719828,1147.8082546153657
2024-01-01 16:00:00,-2.375235580406674,112.8668097574617,97979.36214709288,28.080953958609182,1176.3127592481462
2024-01-01 17:00:00,-2.0792784650009644,112.56900665487966,97972.17392139834,28.05969726084969,1184.2760093583286
2024-01-01 18:00:00,-1.104002463905088,109.72192688880904,97965.92144057876,28.058972102945432,1182.1104903137234
2024-01-01 19:00:00,0.6362462258754995,103.73652851005981,97953.86686806833,28.02780729063699,1185.448473430156
2024-01-01 20:00:00,2.997310873578286,95.2783896944456,97929.24176758283,27.905807744952536,1202.1442246175675
2024-01-01 21:00:00,5.566712416991891,86.28689256072005,97888.55463638833,27.689746008018115,1226.8139084080212
2024-01-01 22:00:00,7.779873220865398,79.08217785233768,97834.03079674969,27.453999470466435,1247.2648808640433
2024-01-01 23:00:00,9.161389167466105,75.11171141577722,97772.82562538734,27.3009662630129,1256.104894412724
2024-01-02 00:00:00,9.547334943426359,74.25268838081116,97713.10721452409,27.283631440865992,1256.6356865669989
2024-01-02 01:00:00,9.132623544324904,75.18710989724318,97659.95593355877,27.369246483508835,1258.4264932362478
2024-01-02 02:00:00,8.306077643777515,76.51667878598472,97614.39412282975,27.474680261345313,1268.0948531754264
2024-01-02 03:00:00,7.394579980254745,77.71797029355216,97576.09099239935,27.537728922561385,1284.7606498991029
2024-01-02 04:00:00,6.502428958519467,79.23911086449816,97546.83157821084,27.558311678638002,1303.9333927819375
2024-01-02 05:00:00,5.546539950476481,81.80203831748511,97531.00728949432,27.57676315207076,1324.5437814886805
2024-01-02 06:00:00,4.426854640144024,85.60745118297999,97532.1353150541,27.618689919663282,1350.8461628016903
2024-01-02 07:00:00,3.1727211979635808,90.11129493575794,97548.29382544199,27.665379569278514,1386.896513118014
2024-01-02 08:00:00,1.947980235142559,94.45167353040756,97570.74538691281,27.678139125885682,1429.7918099125652
2024-01-02 09:00:00,0.9312282929176465,98.04386597051281,97587.53798130793,27.647318653245662,1469.763171155828
2024-01-02 10:00:00,0.18941092561999007,100.82249914675883,97589.7171761418,27.6113213220154,1498.2734663903955
2024-01-02 11:00:00,-0.3498810667721646,103.04119157962435,97575.66155868805,27.622924686826885,1516.4946347409025
2024-01-02 12:00:00,-0.820754068562298,104.95255094082012,97550.7345580174,27.696121769597084,1535.1715267285624
2024-01-02 13:00:00,-1.3134786599865258,106.68616793075776,97523.21691988815,27.78855337698507,1564.8688036693134
2024-01-02 14:00:00,-1.8176655861392899,108.30189542635311,97499.92402297162,27.839384760151912,1605.313802119917
2024-01-02 15:00:00,-2.226421078429528,109.75537621062306,97484.15742730397,27.82564734138992,1644.200912914473
2024-01-02 16:00:00,-2.364850490278325,110.66606895679686,97475.95731292173,27.77987158999264,1667.3002793524097
2024-01-02 17:00:00,-2.0199100313530725,110.14769968866571,97472.87248537071,27.750064736733474,1670.9678576809656
2024-01-02 18:00:00,-0.9925329437943713,107.08598086426055,97470.14293981133,27.74217610449177,1665.5876303538364
2024-01-02 19:00:00,0.8024240298579812,100.89517569933683,97461.06047929049,27.705295909278775,1666.7441537215557
2024-01-02 20:00:00,3.2202786528271545,92.24402853249154,97438.89023541726,27.57907742553955,1682.22554706507
2024-01-02 21:00:00,5.848018094622843,83.07490419021656,97400.1777462026,27.360327944764776,1706.5644442544328
2024-01-02 22:00:00,8.120529360464051,75.71070077920825,97347.18836197566,27.123445604795382,1727.4685871198446
2024-01-02 23:00:00,9.561877936478675,71.60137740856383,97287.1199656299,26.97083503744612,1737.43156591632
2024-01-03 00:00:00,10.007619435644413,70.62632324781723,97228.18510743797,26.95547346606878,1739.6281580834093
2024-01-03 01:00:00,9.652165185658445,71.46940324387985,97175.51002931062,27.04459027687895,1743.4897821116683
